Kod,S,Saat,Home,Away,1,0,2,Altı,Üstü
527,F,21:45,KÖLN,HOFFENHEIM,1.75,3.20,3.20,1.70,1.65
528,F,21:45,B.DORTMUND,UNION BERLIN,1.05,6.25,12.50,2.70,1.20
529,F,21:45,NÜRNBERG,SCHALKE,3.40,3.30,1.65,1.85,1.50
530,F,21:45,FEYENOORD,EXCELSIOR,1.05,6.25,12.50,,
531,F,21:45,CHIEVO,BOLOGNA,1.85,2.90,3.20,1.40,2.05
532,F,21:45,FIORENTINA,CROTONE,1.10,5.50,10.00,2.15,1.35
533,F,21:45,INTER,TORINO,1.75,3.10,3.30,1.70,1.65
534,F,21:45,JUVENTUS,SAMPDORIA,1.05,6.25,12.50,2.15,1.35
535,F,21:45,LAZIO,CAGLIARI,1.35,3.60,5.50,1.95,1.45
536,F,21:45,NAPOLI,EMPOLI,1.10,5.50,10.00,2.05,1.40
537,F,21:45,PESCARA,ATALANTA,2.60,2.90,2.10,1.60,1.75
538,F,21:45,SASSUOLO,ROMA,3.20,3.20,1.75,1.85,1.50
539,F,21:45,DUNDEE,PARTICK THISTLE,2.10,2.90,2.60,1.60,1.75
540,F,21:45,KILMARNOCK,HEARTS,5.00,3.50,1.40,1.75,1.60
541,F,21:45,MOTHERWELL,INVERNESS CT,2.50,2.90,2.20,1.70,1.65
542,F,21:45,GLASGOW RANGERS,ST JOHNSTONE,1.40,3.75,4.60,1.80,1.55
543,F,21:45,ROSS COUNTY,CELTIC,9.00,4.75,1.15,2.30,1.30
547,F,21:45,ATALANTA (537),(551) MANCHESTER CITY,2.10,3.00,2.60,,
548,F,21:45,CHELSEA (525),(538) ROMA,2.10,3.50,2.25,,
549,F,21:45,LAZIO (535),(524) SOUTHAMPTON,2.00,3.65,2.30,,
550,F,21:45,MANCHESTER UTD (551),(533) INTER,2.40,3.20,2.10,,
825,B,21:45,MALAGA,B.MÜNİH,1.70,,1.70,1.70,1.70
551,F,22:00,MANCHESTER UTD,MANCHESTER CITY,2.20,2.90,2.50,1.60,1.75
552,F,22:05,BASTIA,GUINGAMP,2.20,2.80,2.60,1.25,2.50
553,F,22:05,CLERMONT,MARSİLYA,4.00,3.30,1.55,1.75,1.60
554,F,22:05,DIJON,SOCHAUX,1.70,3.10,3.50,1.50,1.85
555,F,22:05,NANCY,CAEN,1.90,2.90,3.00,1.50,1.85
556,F,22:05,RENNES,LORIENT,1.75,3.00,3.40,1.55,1.80
557,F,22:05,TOULOUSE,AUXERRE,1.40,3.50,5.00,1.60,1.75
559,F,01:45,VASCO DA GAMA,AVAI,1.50,3.30,4.30,,
560,F,01:45,CHAPECOENSE,ATLETICO JUNIOR,,,,,
561,F,02:00,COLO COLO,COBRELOA,1.25,4.00,7.00,,
826,B,02:00,INDIANA,DALLAS,1.70,,1.70,1.70,1.70
827,B,02:00,ORLANDO,MIAMI,1.70,,1.70,1.70,1.70
856,B,02:00,INDIANA,DALLAS,,,,,
867,B,02:00,INDIANA (826),(833) OKLAHOMA,1.70,,1.70,1.70,1.70
562,F,02:30,TORONTO,PHILADELPHIA,1.65,3.20,3.60,1.70,1.65
828,B,02:30,BOSTON,BROOKLYN,1.70,,1.70,1.70,1.70
829,B,02:30,TORONTO,DETROIT,1.70,,1.70,1.70,1.70
563,F,02:45,CRUZEIRO,GREMIO,1.80,3.00,3.20,1.50,1.85
564,F,02:45,INTERNACIONAL,ATLETICO MG,2.00,2.90,2.80,1.60,1.75
565,F,02:45,ATLETICO NACIONAL,CORITIBA,,,,,
830,B,03:00,MEMPHIS,MINNESOTA,1.70,,1.70,1.70,1.70
831,B,03:00,MILWAUKEE,CHARLOTTE,1.70,,1.70,1.70,1.70
832,B,03:00,NEW ORLEANS,DENVER,1.70,,1.70,1.70,1.70
833,B,03:00,PHILADELPHIA,OKLAHOMA,1.70,,1.70,1.70,1.70
566,F,04:00,UNIV SAN MARTIN,UNIVERSITARIO,,,,,
567,F,05:00,CLUB AMERICA,GUADALAJARA,1.90,2.90,3.00,1.65,1.70
834,B,05:00,PHOENIX,SACRAMENTO,1.70,,1.70,1.70,1.70
568,F,05:30,LOS ANGELES,SALT LAKE,1.55,3.30,4.00,1.65,1.70
841,B,05:30,LOS ANGELES L,HOUSTON,1.70,,1.70,1.70,1.70
569,F,12:00,FATİH KARAGÜMRÜK,GÖZTEPE,,,,,
570,F,13:30,YENİ AMASYASPOR,DENİZLİSPOR,,,,,
571,F,14:30,AYDINSPOR 1923,ANTALYASPOR,,,,,
572,F,17:15,ASTERAS TRIPOLIS,VERIA,1.40,3.50,5.00,,
712,V,17:30,BURSA BŞB (B),ECZACIBAŞI (B),,,,,
573,F,18:00,ANZHI MAKHACHKALA,ZENIT,5.00,3.50,1.40,1.65,1.70
574,F,18:00,KRYLYA SOVIETOV,LOKOMOTİV MOSKOVA,3.20,2.80,1.90,1.30,2.30
575,F,18:00,KRASNODAR (577),(573) ZENIT,2.25,3.40,2.15,,
842,B,18:00,OLYMPIACOS (B),YAKIN DOĞU ÜNİV. (B),1.70,,1.70,,
843,B,18:00,HATAY BŞB (B),NADEZHDA ORENBURG (B),1.70,,1.70,1.70,1.70
576,F,18:30,KASIMPAŞA,K.MARAŞSPOR,,,,,
577,F,19:00,KRASNODAR,ORENBURG,1.25,4.00,7.00,1.50,1.85
844,B,19:00,UNI GYOR (B),USK PRAG (B),1.70,,1.70,1.70,1.70
578,F,19:30,PANATHINAIKOS,IRAKLIS,1.02,7.00,16.00,,
579,F,19:30,ZWOLLE,VVV VENLO,1.50,3.60,4.00,,
580,F,20:00,AIK STOCKHOLM,HACKEN,1.40,3.50,5.00,,
581,F,20:00,HELSINGBORG,DJURGARDEN,2.50,2.90,2.20,,
582,F,20:00,JONKOPINGS,OREBRO,2.60,2.90,2.10,,
583,F,20:00,SUNDSVALL,GÖTEBORG,3.20,3.20,1.75,,
845,B,20:00,CSKA MOSKOVA,UNICS KAZAN,1.70,,1.70,1.70,1.70
857,B,20:00,CSKA MOSKOVA,UNICS KAZAN,,,,,
868,B,20:00,CSKA MOSKOVA (845),(848) REAL MADRID,1.70,,1.70,1.70,1.70
846,B,20:15,DARÜŞŞAFAKA DOĞUŞ,ANADOLU EFES,1.70,,1.70,1.70,1.70
858,B,20:15,DARÜŞŞAFAKA DOĞUŞ,ANADOLU EFES,,,,,
869,B,20:15,DARÜŞŞAFAKA DOĞUŞ (846),(849) OLYMPIAKOS,1.70,,1.70,1.70,1.70
584,F,20:30,RIO AVE,CHAVES,1.75,3.00,3.40,,
585,F,21:00,STROMSGODSET,KONGSVINGER,1.20,5.00,6.25,2.05,1.40
586,F,21:00,KAYSERİSPOR,BUCASPOR,,,,,
587,F,21:15,ZÜRİH,ST GALLEN,1.75,3.20,3.20,1.85,1.50
588,F,21:30,GENT,STANDARD LIEGE,1.55,3.30,4.00,1.80,1.55
589,F,21:30,WAASLAND BEVEREN,MOUSCRON PERUWELZ,1.85,3.20,2.90,1.75,1.60
847,B,21:30,FAMILIA BASKET SCHIO (B),FENERBAHÇE (B),1.70,,1.70,1.70,1.70
590,F,21:45,FC EINDHOVEN,HEERENVEEN,3.75,3.50,1.55,,
848,B,21:45,O.MILANO,REAL MADRID,1.70,,1.70,1.70,1.70
849,B,22:00,VITORIA,OLYMPIAKOS,1.70,,1.70,1.70,1.70
859,B,22:00,VITORIA,OLYMPIAKOS,,,,,
591,F,01:30,SPORT RECIFE,PONTE PRETA,1.80,3.00,3.20,1.60,1.75
592,F,02:30,DC UNITED,MONTREAL,2.10,2.90,2.60,1.60,1.75
960,B,02:30,ATLANTA,WASHINGTON,1.70,,1.70,1.70,1.70
971,B,02:30,ATLANTA (960),(962) LOS ANGELES C,1.70,,1.70,1.70,1.70
593,F,03:00,PALESTINO,SAN LORENZO,,,,,
961,B,03:00,CHICAGO,BOSTON,1.70,,1.70,1.70,1.70
968,B,03:00,CHICAGO,BOSTON,,,,,
594,F,03:10,RIVER PLATE,UNION SANTA FE,1.55,3.30,4.00,1.40,2.05
595,F,05:00,SEATTLE,KANSAS,2.00,2.90,2.80,1.60,1.75
962,B,05:30,PORTLAND,LOS ANGELES C,1.70,,1.70,1.70,1.70
963,B,05:30,SACRAMENTO,SAN ANTONIO,1.70,,1.70,1.70,1.70
596,F,11:50,MELBOURNE CITY,ADELAIDE UTD,1.55,3.30,4.00,,
101,F,20:00,GENÇLERBİRLİĞİ,BEŞİKTAŞ,3.10,3.20,1.75,1.80,1.55
964,B,20:00,GALATASARAY,FENERBAHÇE,1.70,,1.70,1.70,1.70
965,B,20:00,ZALGIRIS,MACCABI TEL AVIV,1.70,,1.70,1.70,1.70
969,B,20:00,GALATASARAY,FENERBAHÇE,,,,,
970,B,20:00,ZALGIRIS,MACCABI TEL AVIV,,,,,
966,B,21:15,PANATHINAIKOS,KIZIL YILDIZ,1.70,,1.70,1.70,1.70
102,F,21:30,M'GLADBACH,E.FRANKFURT,1.65,3.30,3.40,1.85,1.50
103,F,21:45,LILLE,PARIS ST GERMAIN,5.00,3.50,1.40,1.75,1.60
104,F,21:45,LEGANES,REAL SOCIEDAD,2.40,2.90,2.30,1.50,1.85
967,B,22:00,BARCELONA,BAMBERG,1.70,,1.70,1.70,1.70
105,F,13:30,GAZİANTEPSPOR,OSMANLISPOR,2.55,3.20,2.00,1.60,1.75
106,F,14:00,SPORTING GIJON,SEVILLA,3.30,3.20,1.70,1.75,1.60
107,F,14:30,SUNDERLAND,ARSENAL,5.50,4.60,1.25,2.15,1.35
108,F,16:00,BURSASPOR,KONYASPOR,1.90,3.10,2.80,1.70,1.65
109,F,16:30,AUGSBURG,B.MÜNİH,8.00,6.25,1.10,2.05,1.40
110,F,16:30,DARMSTADT,RB LEIPZIG,4.30,3.30,1.50,1.65,1.70
111,F,16:30,MAINZ,INGOLSTADT,1.90,3.20,2.80,1.65,1.70
112,F,16:30,WERDER BREMEN,FREIBURG,2.10,3.10,2.50,1.95,1.45
113,F,16:30,WOLFSBURG,B.LEVERKUSEN,2.50,3.10,2.10,1.80,1.55
114,F,17:00,MANCHESTER UTD,BURNLEY,1.05,7.00,10.00,2.05,1.40
115,F,17:00,MIDDLESBROUGH,BOURNEMOUTH,2.20,2.90,2.50,1.55,1.80
116,F,17:00,TOTTENHAM,LEICESTER,1.45,3.40,4.60,1.80,1.55
117,F,17:00,WATFORD,HULL,1.60,3.30,3.60,1.70,1.65
118,F,17:00,WEST BROMWICH,MANCHESTER CITY,6.25,3.75,1.30,1.85,1.50
119,F,17:15,ALAVES,REAL MADRID,10.00,5.50,1.10,2.30,1.30
120,F,18:00,TOULOUSE,LYON,2.60,2.90,2.10,1.70,1.65
121,F,19:00,ADANASPOR,GALATASARAY,5.00,3.40,1.40,1.95,1.45
122,F,19:30,CRYSTAL PALACE,LIVERPOOL,4.00,3.30,1.55,1.85,1.50
123,F,19:30,B.DORTMUND,SCHALKE,1.35,3.60,5.50,2.15,1.35
124,F,19:30,ATLETICO MADRID,MALAGA,1.10,5.50,10.00,1.75,1.60
125,F,21:00,BASTIA,DIJON,2.00,3.00,2.70,1.40,2.05
126,F,21:00,GUINGAMP,ANGERS,1.90,3.00,2.90,1.55,1.80
