Kod,S,Saat,Home,Away,1,0,2,Altı,Üstü
290,F,17:00,PRESTON,NEWCASTLE UTD,4.30,3.30,1.50,1.55,1.80
291,F,17:00,READING,NOTTINGHAM F,1.80,3.20,3.00,1.65,1.70
292,F,17:00,DUMBARTON,DUNFERMLINE,2.60,3.20,2.00,1.80,1.55
293,F,17:00,DUNDEE UTD,FALKIRK,1.60,3.40,3.50,1.85,1.50
294,F,17:00,HIBERNIAN,ST MIRREN,1.20,4.30,8.00,1.85,1.50
295,F,17:00,MORTON,AYR UTD,1.70,3.30,3.20,1.75,1.60
296,F,17:00,ALLOA,ALBION ROVERS,1.55,3.50,3.75,,
297,F,17:00,BRECHIN,LIVINGSTON,2.40,3.20,2.10,,
298,F,17:00,EAST FIFE,AIRDRIEONIANS,2.20,3.00,2.40,,
299,F,17:00,PETERHEAD,STRANRAER,1.85,3.20,2.90,,
300,F,17:00,QUEENS PARK,STENHOUSEMUIR,1.85,3.20,2.90,,
301,F,17:00,BERWICK,ARBROATH,2.00,3.20,2.60,,
302,F,17:00,CLYDE,STIRLING ALBION,1.50,3.60,4.00,,
303,F,17:00,ELGIN,COWDENBEATH,1.50,3.60,4.00,,
304,F,17:00,FORFAR,EDINBURGH CITY,1.20,4.30,8.00,,
305,F,17:00,AFC UTD,ATVIDABERG,1.30,3.75,6.25,1.70,1.65
306,F,17:00,VARBERGS,LJUNGSKILE,2.10,3.10,2.50,1.60,1.75
307,F,17:00,HUESCA,DEPORTIU,1.90,2.90,3.00,1.35,2.15
308,F,17:00,HAMILTON,DUNDEE,1.65,3.30,3.40,1.65,1.70
309,F,17:00,INVERNESS CT,HEARTS,2.20,2.90,2.50,1.70,1.65
310,F,17:00,MOTHERWELL,ROSS COUNTY,2.00,3.00,2.70,1.60,1.75
311,F,17:00,GLASGOW RANGERS,KILMARNOCK,1.10,5.50,10.00,1.95,1.45
312,F,17:00,ST JOHNSTONE,PARTICK THISTLE,1.80,3.10,3.10,1.65,1.70
313,F,17:00,SHAKHTAR DONETSK,CHERNOMORETS,1.05,6.25,12.50,,
314,F,17:00,ATLETICO MADRID (124),(116) TOTTENHAM,2.00,4.00,2.25,,
315,F,17:00,MANCHESTER CITY (118),(114) MANCHESTER UTD,2.20,4.00,2.00,,
680,B,17:00,ASP PROMITHEAS,ARIS,1.70,,1.70,1.70,1.70
681,B,17:00,KOROIBOS AMAL.,DOXA LEFKADOS,1.70,,1.70,1.70,1.70
682,B,17:00,PAOK,APOLLON PATRAS,1.70,,1.70,1.70,1.70
683,B,17:00,RETHYMNO,LAVRIO,1.70,,1.70,1.70,1.70
684,B,17:00,TRIKALA,AEK,1.70,,1.70,1.70,1.70
685,B,17:00,TOFAŞ,BEST BALIKESİR,1.70,,1.70,1.70,1.70
773,B,17:00,TOFAŞ,BEST BALIKESİR,,,,,
871,V,17:00,İSTANBUL BŞB,GALATASARAY,,,,,
119,F,17:15,ALAVES,REAL MADRID,10.00,5.50,1.10,2.30,1.30
316,F,17:15,XANTHI,KERKYRA,1.50,3.30,4.30,,
120,F,18:00,TOULOUSE,LYON,2.60,2.90,2.10,1.70,1.65
317,F,18:00,IQUIQUE,SANT. WANDERERS,1.80,3.20,3.00,,
